,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
1,Sirius,0008.6,2.1,1.71,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
2,Canopus,0310,15,71,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
3,Alpha Centauri,0004.4,1.1,1.2,3,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
4,Arcturus,0037,1.1,26,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
5,Vega,0025,2.2,2.7,5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
6,Capella,0043,2.6,12,6,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
7,Rigel,0860,23,78.9,7,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
8,Procyon,0011.4,1.5,1.9,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
9,Betelgeuse,0640[1],20,950,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999
10,Achernar,0144,6.7,9.3,10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998
11,Hadar,0390,10.5,8.6,11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998
12,Altair,0017,1.8,1.8,12,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
13,Acrux,0320,18,8.9,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999
14,Aldebaran,0065,1.5,44,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
15,Antares,0600,12,680,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
16,Spica,0260,11.43,7.47,16,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
17,Pollux,0034,1.9,8.8,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999
18,Fomalhaut,0025,1.9,1.8,18,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
19,Deneb,"2,600",19,203,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
20,Mimosa,0350,16,8.4,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998
21,Regulus,0077,3.8,3.1,21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999
22,Adhara,0430,12.5,14,22,LP 771-21,53.0,0.074457864,0.11098404
23,Shaula,0700,14.5,8.8,23,Teegarden's star,12.578,0.07636704,0.13050900999999998
24,Castor,0052,2.8,2.4,24,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
25,Gacrux,0088,1.5,84,25,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
26,Bellatrix,0240,8.6,5.8,26,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
27,Elnath,0130,5.0,4.2,27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999
28,Miaplacidus,0110,3.5,6.8,28,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
29,Alnilam,"2,000",32,42,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
30,Gamma Velorum,"01,100",9.0,6,30,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
31,Alnair,0101,4.0,3.4,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999
32,Alioth,0081,2.9,4.2,32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999
33,Alnitak,01050,33,20,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
34,Dubhe,0120,4.25,30,34,LP 944-20,20.9,0.069684924,0.14695108999999998
35,Mirfak,0590,8.5,68,35,2MASP J0345432+254023,88.0,0.070639512,0.10790115
36,Wezen,"1,600",17,200,36,Teide 1,380.0,0.05250234,0.38844413999999994
37,Sargas,0270,5.7,26,37,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
38,Kaus Australis,0140,3.5,6.8,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,Avior,0630,9.0,130,39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
40,Alkaid,0104,6.1,3.4,40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001
41,Menkalinan,081,2.39,2.77,41,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
42,Atria,0390,7,92,42,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
43,Alhena,0109,2.8,3.3,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
44,Peacock,0180,5.9,4.8,44,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
45,Alsephina[2],0080,2.4,2.9,45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
46,Mirzam,0500,13.5,10,46,2MASS J04510093-3402150 [de],69.0,0.068730336,0.10687352
47,Polaris,0430,5.4,39,47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
48,Alphard,0180,3.0,50,48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
49,Mintaka,01200,24,16.5,49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
50,Scheat,0196,2.1,95,50,2MASS J0523−1403,40.0,0.064911984,0.10379063
51,Almaaz,0653,15,140,51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
52,Rasalgethi,0360,2.8,280,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
53,Tau Ceti,011.9,0.783,0.893,53,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
54,Delta Pavonis,019.92,0.991,1.22,54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
55,Ran,010.48,0.82,0.74,55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
56,V382 Carinae,"08,900",20,485,56,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
57,Eta Carinae,"07,500",100,60–881,57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
58,Delta Cephei,0887,4.5,44.5,58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
59,Mu Cephei,"06,000",19.2,972,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
60,Titawin,044.25,1.27,1.48,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
61,Rho Cassiopeiae,"08,154",22,636-981,61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
62,P Cygni,"05,545",30,76,62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
63,La Superba,"01,000",,129 - 342,63,2MASS J07522390+1612157,60.0,0.064911984,0.20655362999999996
64,VV Cephei,"04,900",18.2,"516 - 1,050",64,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
65,61 Cygni,011.41,0.7,0.665,65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
66,R Doradus,0178,0.7 - 1.0,298,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
67,Polaris Australis,0281,1.59,3.74,67,LHS 2021,55.0,0.084003744,0.11817744999999999
68,R Coronae Borealis,"04,566",0.85,85,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
69,54 Piscium,036.1,0.76,0.94,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,Mira,0300,1.2,370,70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
71,RW Cephei,"014,000",13.9,"1,158",71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,Lacaille 8760,012.87,0.6,0.51,72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
73,V838 Monocerotis,"019,896",?,380 - 750,73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,HD 140283,0190,?,1.4,74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,II Pegasi,0130,0.8,3.4,75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
76,VY Canis Majoris,"03,900",17,"1,420",76,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
77,Pistol Star,"025,000",100,320,77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
78,S Doradus,"0169,000",24,380,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
79,UY Scuti,"05,100",7–10,755,79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
80,Barnard's Star,05.98,0.14,0.20,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
81,Luhman 16,06.52,0.04,?,81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Proxima Centauri,04.25,0.12,0.15,82,Luhman 16B,6.516,0.041047284,0.10481826
83,KIC 8462852,"01,470",1.43,1.58,83,Luhman 16A,6.516,0.03818352,0.10379063
84,R136a1,"0163,000",290,32,84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
85,Melnick 42,"0163,000",189,21.1,85,TWA 28,180.0,0.034365168,0.24560357
86,WR 102,"018,134",19,0.39,86,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
87,VFTS 352,"0164,000",57.48,14.47,87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
88,YBP 1194,"02,772",1.01,0.99,88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
89,Gliese 1214,047.5,0.16,0.21,89,TWA 26,137.0,0.028637640000000002,0.2260786
90,NML Cygni,"05,251",50,"1,640 - 2,770",90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
91,VB 10,018.72,0.075,0.10,91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
92,WOH G64,"0163,000",<20,"1,540 - 1,730",92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
93,TRAPPIST-1,039.6,0.089,0.12,93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
94,2MASS J0523-1403,040.3,0.07,0.086,94,2M 1237+6526,45.6,0.039138108,0.09659721999999998
95,WISE 0855−0714,07.27,0.003,?,95,TWA 29,262.0,0.0238647,0.205526
96,Icarus,"014,400,000,000",33,?,96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
1,Sirius,0008.6,2.1,1.71,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
2,Canopus,0310,15,71,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
3,Alpha Centauri,0004.4,1.1,1.2,3,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
4,Arcturus,0037,1.1,26,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
5,Vega,0025,2.2,2.7,5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
6,Capella,0043,2.6,12,6,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
7,Rigel,0860,23,78.9,7,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
8,Procyon,0011.4,1.5,1.9,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
9,Betelgeuse,0640[1],20,950,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999
10,Achernar,0144,6.7,9.3,10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998
11,Hadar,0390,10.5,8.6,11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998
12,Altair,0017,1.8,1.8,12,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
13,Acrux,0320,18,8.9,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999
14,Aldebaran,0065,1.5,44,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
15,Antares,0600,12,680,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
16,Spica,0260,11.43,7.47,16,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
17,Pollux,0034,1.9,8.8,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999
18,Fomalhaut,0025,1.9,1.8,18,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
19,Deneb,"2,600",19,203,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
20,Mimosa,0350,16,8.4,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998
21,Regulus,0077,3.8,3.1,21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999
22,Adhara,0430,12.5,14,22,LP 771-21,53.0,0.074457864,0.11098404
23,Shaula,0700,14.5,8.8,23,Teegarden's star,12.578,0.07636704,0.13050900999999998
24,Castor,0052,2.8,2.4,24,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
25,Gacrux,0088,1.5,84,25,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
26,Bellatrix,0240,8.6,5.8,26,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
27,Elnath,0130,5.0,4.2,27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999
28,Miaplacidus,0110,3.5,6.8,28,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
29,Alnilam,"2,000",32,42,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
30,Gamma Velorum,"01,100",9.0,6,30,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
31,Alnair,0101,4.0,3.4,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999
32,Alioth,0081,2.9,4.2,32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999
33,Alnitak,01050,33,20,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
34,Dubhe,0120,4.25,30,34,LP 944-20,20.9,0.069684924,0.14695108999999998
35,Mirfak,0590,8.5,68,35,2MASP J0345432+254023,88.0,0.070639512,0.10790115
36,Wezen,"1,600",17,200,36,Teide 1,380.0,0.05250234,0.38844413999999994
37,Sargas,0270,5.7,26,37,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
38,Kaus Australis,0140,3.5,6.8,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,Avior,0630,9.0,130,39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
40,Alkaid,0104,6.1,3.4,40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001
41,Menkalinan,081,2.39,2.77,41,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
42,Atria,0390,7,92,42,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
43,Alhena,0109,2.8,3.3,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
44,Peacock,0180,5.9,4.8,44,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
45,Alsephina[2],0080,2.4,2.9,45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
46,Mirzam,0500,13.5,10,46,2MASS J04510093-3402150 [de],69.0,0.068730336,0.10687352
47,Polaris,0430,5.4,39,47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
48,Alphard,0180,3.0,50,48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
